tconst,primaryTitle,originalTitle,startYear,runtimeMinutes,genres
tt0347727,Painting the Town: The Illusionistic Murals of Richard Haas,Painting the Town: The Illusionistic Murals of Richard Haas,1990,56,['Documentary']
tt0347717,The Other Side of the Moon,The Other Side of the Moon,1990,90,['Documentary']
tt0347651,Ngjyrat e moshës,Ngjyrat e moshës,1990,86,['Drama']
tt0347276,Jeta në duart e tjetrit,Jeta në duart e tjetrit,1990,79,['Drama']
tt0347270,Jampang,Jampang,1990,90,['Action']
tt0347254,Introduction to the End of an Argument,Introduction to the End of an Argument,1990,45,['Documentary']
tt0337650,Jawani Zindabad,Jawani Zindabad,1990,163,"['Drama', 'Romance']"
tt0347203,How to Be Louise,How to Be Louise,1990,82,"['Comedy', 'Drama']"
tt0345356,Der grüne Berg,Der grüne Berg,1990,125,['Documentary']
tt0345177,Ek Doctor Ki Maut,Ek Doctor Ki Maut,1990,122,"['Biography', 'Drama']"
tt0344196,Pequeños sinvergüenzas,Pequeños sinvergüenzas,1990,77,"['Adventure', 'Comedy', 'Family']"
tt2937708,"Una vez más, mi país","Una vez más, mi país",1990,47,['Documentary']
